t U
0 1.254060
3600 1.824490
7200 1.642710
10800 1.102830
14400 0.840320
18000 0.159830
21600 1.129720
25200 1.425770
28800 0.754360
32400 0.263710
36000 0.067220
39600 0.653410
43200 1.426940
46800 2.090870
50400 2.084370
54000 1.442180
57600 1.099960
61200 0.832950
64800 0.165250
68400 0.860070
72000 0.519340
75600 0.224460
79200 0.266850
82800 0.210470
86400 0.280140
90000 1.042660
93600 1.615980
97200 1.522350
100800 1.302890
104400 1.236000
108000 0.382880
111600 0.953170
115200 1.224430
118800 0.725510
122400 0.480590
126000 0.227710
129600 0.426740
133200 1.237870
136800 1.884480
140400 1.898020
144000 1.514380
147600 1.472860
151200 1.177470
154800 0.079410
158400 0.633610
162000 0.429310
165600 0.383590
169200 0.624090
172800 0.519230
176400 0.057100
180000 0.891130
183600 1.544560
187200 1.649230
190800 1.703310
194400 1.630830
198000 0.526580
201600 0.881360
205200 1.168250
208800 0.879890
212400 0.791420
216000 0.475960
219600 0.256870
223200 1.100700
226800 1.803600
230400 1.944130
234000 1.799280
237600 1.874880
241200 1.399030
244800 0.132040
248400 0.595590
252000 0.556110
255600 0.703350
259200 0.958540
262800 0.739980
266400 0.083870
270000 0.905900
273600 1.705970
277200 1.961850
280800 2.115570
284400 1.882480
288000 0.509570
291600 0.964540
295200 1.286140
298800 1.128760
302400 1.046960
306000 0.623020
309600 0.184110
313200 1.111690
316800 1.937540
320400 2.161050
324000 2.110940
327600 2.152180
331200 1.423670
334800 0.064110
338400 0.780520
342000 0.820630
345600 1.019680
349200 1.179260
352800 0.834460
356400 0.093430
360000 1.170350
363600 2.035640
367200 2.286340
370800 2.407710
374400 1.938050
378000 0.288960
381600 1.220390
385200 1.486920
388800 1.325450
392400 1.178340
396000 0.657520
399600 0.267200
403200 1.337140
406800 2.212200
410400 2.374410
414000 2.318690
417600 2.240300
421200 1.194070
424800 0.422910
428400 1.091640
432000 1.076230
435600 1.231210
439200 1.255450
442800 0.727140
446400 0.357500
450000 1.610980
453600 2.365700
457200 2.511430
460800 2.535080
464400 1.752910
468000 0.173660
471600 1.549380
475200 1.628800
478800 1.409180
482400 1.188480
486000 0.539450
489600 0.537580
493200 1.693600
496800 2.458920
500400 2.481150
504000 2.384670
507600 2.089030
511200 0.701460
514800 0.931190
518400 1.370460
522000 1.239000
525600 1.311520
529200 1.127400
532800 0.376650
536400 0.866730
540000 2.059950
543600 2.597110
547200 2.610500
550800 2.452020
554400 1.313380
558000 0.710060
561600 1.806480
565200 1.661490
568800 1.391790
572400 1.049760
576000 0.258280
579600 0.924230
583200 2.021230
586800 2.593410
590400 2.473850
594000 2.275370
597600 1.684980
601200 0.117200
