t U
0 0.820910
3600 0.735580
7200 0.384580
10800 1.070940
14400 1.941440
18000 1.988890
21600 1.798090
25200 1.665810
28800 1.019190
32400 0.292590
36000 0.912890
39600 1.132910
43200 1.189780
46800 1.282910
50400 1.130550
54000 0.390430
57600 0.940580
61200 1.522100
64800 1.649070
68400 1.884900
72000 1.756410
75600 0.897350
79200 0.471530
82800 0.802710
86400 0.884440
90000 0.954370
93600 0.901700
97200 0.408820
100800 1.038640
104400 1.871790
108000 1.946700
111600 1.918970
115200 1.828750
118800 1.070110
122400 0.342140
126000 0.947750
129600 1.199060
133200 1.356440
136800 1.504550
140400 1.269500
144000 0.347690
147600 0.994370
151200 1.605820
154800 1.880640
158400 2.197380
162000 1.920680
165600 0.907010
169200 0.543820
172800 0.896300
176400 1.060020
180000 1.185620
183600 1.057260
187200 0.365020
190800 1.133260
194400 1.974140
198000 2.114730
201600 2.174850
205200 1.965980
208800 0.999640
212400 0.458930
216000 1.121060
219600 1.413970
223200 1.611400
226800 1.692400
230400 1.263230
234000 0.169400
237600 1.258350
241200 1.906050
244800 2.243250
248400 2.457070
252000 1.901080
255600 0.733030
259200 0.709210
262800 1.145140
266400 1.344800
270000 1.409730
273600 1.101910
277200 0.225240
280800 1.413730
284400 2.270820
288000 2.424330
291600 2.422820
295200 1.961480
298800 0.765320
302400 0.728010
306000 1.440410
309600 1.722750
313200 1.841210
316800 1.743370
320400 1.054840
324000 0.388500
327600 1.746430
331200 2.350690
334800 2.595330
338400 2.549550
342000 1.657630
345600 0.448140
349200 1.059220
352800 1.509990
356400 1.628880
360000 1.531450
363600 0.988990
367200 0.347560
370800 1.887360
374400 2.687290
378000 2.734370
381600 2.542500
385200 1.763030
388800 0.394300
392400 1.180020
396000 1.852300
399600 2.012540
403200 1.950910
406800 1.612800
410400 0.619840
414000 1.039630
417600 2.376390
421200 2.801680
424800 2.823070
428400 2.430130
432000 1.190040
435600 0.579880
439200 1.550050
442800 1.873020
446400 1.815850
450000 1.512120
453600 0.702720
457200 0.865660
460800 2.466510
464400 3.083500
468000 2.929550
471600 2.478790
475200 1.354250
478800 0.455310
482400 1.734780
486000 2.238710
489600 2.189990
493200 1.904810
496800 1.286180
500400 0.047240
504000 1.839850
507600 3.002000
511200 3.144160
514800 2.873470
518400 2.086890
522000 0.545490
525600 1.183620
529200 2.029110
532800 2.129640
536400 1.868270
540000 1.339960
543600 0.255500
547200 1.508860
550800 3.007960
554400 3.349910
558000 2.959140
561600 2.211390
565200 0.760070
568800 1.086690
572400 2.247900
576000 2.500630
579600 2.220000
583200 1.693380
586800 0.775190
590400 0.823440
594000 2.630270
597600 3.500160
601200 3.317680
604800 2.717370
608400 1.539490
612000 0.331040
615600 1.793600
619200 2.376980
622800 2.238560
626400 1.773940
630000 1.021810
633600 0.313130
637200 2.122830
640800 3.402640
644400 3.440360
648000 2.802080
651600 1.757620
655200 0.140260
658800 1.697220
662400 2.606980
666000 2.597530
669600 2.089800
673200 1.326230
676800 0.176260
680400 1.602420
684000 3.281730
687600 3.800710
691200 3.280280
694800 2.353000
698400 0.881910
702000 0.976760
705600 2.248060
709200 2.547700
712800 2.184320
716400 1.537040
720000 0.623070
723600 0.834900
727200 2.601430
730800 3.601660
734400 3.332940
738000 2.468500
741600 1.213320
745200 0.562250
748800 2.130580
752400 2.765150
756000 2.510930
759600 1.802260
763200 0.872520
766800 0.473790
770400 2.253550
774000 3.717760
777600 3.852130
781200 3.017000
784800 1.854990
788400 0.276880
792000 1.496460
795600 2.495880
799200 2.523120
802800 1.968090
806400 1.216760
810000 0.265180
813600 1.245740
817200 2.893490
820800 3.574940
824400 3.031640
828000 2.043080
831600 0.725730
835200 0.984190
838800 2.334270
842400 2.702060
846000 2.239980
849600 1.417760
853200 0.455320
856800 0.959100
860400 2.708270
864000 3.880660
867600 3.633690
871200 2.595250
874800 1.358670
878400 0.294850
882000 1.805240
885600 2.516750
889200 2.303620
892800 1.648020
896400 0.916440
900000 0.148690
903600 1.497300
907200 2.960450
910800 3.315800
914400 2.614590
918000 1.662830
921600 0.404230
925200 1.179880
928800 2.290920
932400 2.421490
936000 1.846580
939600 1.046230
943200 0.219740
946800 1.280080
950400 2.914160
954000 3.745570
957600 3.214680
961200 2.152180
964800 0.977680
968400 0.576330
972000 1.876720
975600 2.312160
979200 1.950910
982800 1.330680
986400 0.717000
990000 0.228250
993600 1.552790
997200 2.785000
1000800 2.895890
1004400 2.218130
1008000 1.431620
1011600 0.289090
1015200 1.135850
1018800 2.015060
1022400 1.997270
1026000 1.448400
1029600 0.780140
1033200 0.238610
1036800 1.395500
1040400 2.848470
1044000 3.381630
1047600 2.742610
1051200 1.809570
1054800 0.767670
1058400 0.651840
1062000 1.711990
1065600 1.951230
1069200 1.580730
1072800 1.105600
1076400 0.654830
1080000 0.195070
1083600 1.396060
1087200 2.432120
1090800 2.454810
1094400 1.953960
1098000 1.388760
1101600 0.386620
1105200 0.878170
1108800 1.597840
1112400 1.562790
1116000 1.149190
1119600 0.666120
1123200 0.252390
1126800 1.292870
1130400 2.579340
1134000 2.939750
1137600 2.354690
1141200 1.634430
1144800 0.753270
1148400 0.512140
1152000 1.388140
1155600 1.561950
1159200 1.295220
1162800 1.019670
1166400 0.755200
1170000 0.180300
1173600 1.095780
1177200 2.041770
1180800 2.117330
1184400 1.875130
1188000 1.542990
1191600 0.667870
1195200 0.521490
1198800 1.189690
1202400 1.235110
1206000 1.006730
