TSR	Ct	Cq	Cp
0.055325	0.92368	0.45368278355173974	0.0251
0.055512	0.92976	0.44849762213575445	0.024897
0.13421	0.89888	0.4300275687355637	0.057714
0.13441	0.90179	0.42925377576073204	0.057696
0.21548	0.85842	0.4026034898830518	0.086753
0.29711	0.81384	0.37511359429167646	0.11145
0.37993	0.76881	0.3470639328297318	0.13186
0.46301	0.72598	0.31902118744735536	0.14771
0.5459	0.68483	0.2944312145081517	0.16073
0.62936	0.65278	0.26963899834752764	0.1697
0.71351	0.61325	0.2464716682316996	0.17586
0.79844	0.58903	0.2233229798106307	0.17831
0.88114	0.54904	0.1996391038881449	0.17591
0.96357	0.53245	0.17895949438027337	0.17244
1.054	0.48833	0.15391840607210627	0.16223
1.1346	0.47289	0.13027498677948174	0.14781
1.2196	0.4261	0.10534601508691376	0.12848
1.3036	0.41012	0.08002454740718011	0.10432
1.3914	0.35853	0.05300991806813282	0.073758
1.4752	0.34277	0.024836632321041212	0.036639
