TSR	Ct	Cq	Cp
1.96167749	0.423072833	0.12142895517448182	0.238204448
2.15607796	0.472872995	0.12647062493046402	0.272680527
2.35047843	0.531489677	0.13336808115273793	0.313478798
2.5448789	0.5921263	0.13871826985559116	0.353021198
2.7451703	0.652108576	0.14155265740708328	0.388586151
2.93957077	0.701657046	0.14025733151510414	0.412296352
3.13397124	0.73500811	0.1352284592120252	0.423802102
3.32837171	0.75733691	0.12909296029318792	0.429669357
3.52866311	0.775334275	0.12277015161132795	0.433214505
3.72306358	0.79016233	0.11686969176067631	0.435113293
3.91746405	0.803008038	0.11122874784262538	0.435734621
4.11186453	0.814343552	0.10586079303541647	0.43528524
4.31215592	0.82460434	0.10061335908280421	0.433860492
4.50655639	0.833490466	0.09580781457835036	0.431763319
4.70095686	0.84140194	0.0912569567804968	0.428995017
4.90124826	0.848678656	0.08680624290596534	0.425458947
5.09564873	0.854916829	0.08269222494070937	0.421370531
5.2900492	0.860431878	0.07875666562798697	0.416626636
5.48444967	0.865225216	0.07496350422338728	0.411133566
5.68474107	0.869471767	0.07119441448896106	0.404721812
5.87914154	0.872913567	0.06765880839807098	0.397775711
6.07354201	0.87572739	0.06423164627126701	0.390113602
6.26794249	0.877924134	0.06089126066630519	0.38166292
6.46823388	0.879607635	0.057532029438613935	0.372130622
