TSR	Ct	Cq	Cp
0.058066	0.67145	0.3263355492026315	0.018949
0.058258	0.6757	0.31901198118713314	0.018585
0.13987	0.65916	0.31116751269035536	0.043523
0.13988	0.65937	0.31032313411495566	0.043408
0.22163	0.65158	0.2998556152145468	0.066457
0.30374	0.64061	0.29512741160202804	0.089642
0.38536	0.64619	0.2904816275690264	0.11194
0.46781	0.64685	0.2903529210576944	0.13583
0.54847	0.65184	0.28756358597553194	0.15772
0.58407	0.6452	0.2855308439056963	0.16677
0.58485	0.64666	0.2872360434299393	0.16799
0.63187	0.64278	0.28107047335686136	0.1776
0.71453	0.62571	0.26894602046100236	0.19217
0.79804	0.60072	0.2529823066512957	0.20189
0.87926	0.57628	0.2370629847826581	0.20844
0.96924	0.54518	0.21793363872725022	0.21123
1.049	0.51176	0.19858913250714968	0.20832
1.1393	0.47435	0.1768717633634688	0.20151
1.2244	0.43804	0.1553005553740608	0.19015
1.3093	0.39593	0.1314671962117162	0.17213
1.392	0.35493	0.10751436781609196	0.14966
1.4822	0.3131	0.08197948994737553	0.12151
1.5648	0.2716	0.05919925869120654	0.092635
1.6539	0.2278	0.032778886268819155	0.054213
1.7334	0.18663	0.009485981308411214	0.016443
