TSR	Ct	Cq	Cp
0.052589	0.99615	0.5199376295422997	0.027343
0.052617	0.99684	0.5372598209704088	0.028269
0.22005	0.95461	0.4894342194955692	0.1077
0.2202	0.95559	0.4891916439600363	0.10772
0.33789	0.90637	0.445707182810974	0.1506
0.45729	0.84339	0.3973189879507534	0.18169
0.58056	0.76949	0.3481810665564283	0.20214
0.76477	0.66981	0.27706369235194894	0.21189
0.95023	0.57197	0.21641076370983867	0.20564
1.0705	0.51745	0.1756188696870621	0.188
1.1945	0.45872	0.13557974047718713	0.16195
1.3193	0.3927	0.09743803532176154	0.12855
1.5031	0.30584	0.03276495243164127	0.049249
1.7015	0.18447	-0.03666411989421099	-0.062384
